PBP_P_ID,ile_zachowan
1,14
2,9
3,2
4,2
5,7
6,29
7,22
9,7
10,24
12,5
14,10
15,17
16,41
17,9
18,8
19,22
20,9
21,6
22,29
23,18
24,6
25,9
26,24
27,38
28,3
29,36
30,7
31,24
32,54
34,22
35,5
36,44
37,11
38,2
39,4
42,3
44,1
46,2
47,2
48,1
49,5
50,4
51,2
52,3
53,2
55,2
56,4
57,3
58,7
59,6
64,19
65,13
68,4
70,4
71,10
72,4
73,4
74,4
75,4
76,3
77,4
80,2
81,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,5
91,4
93,4
94,4
95,3
97,4
98,4
99,4
100,4
101,1
102,4
104,2
105,2
106,5
107,17
110,9
111,5
112,7
114,6
115,4
116,1
117,3
118,4
119,4
120,4
121,4
122,1
123,5
124,7
125,8
127,8
128,4
129,6
130,6
131,6
132,6
133,6
134,4
135,6
136,5
137,5
138,5
139,5
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,4
148,4
150,1
152,4
153,3
154,4
155,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,2
169,23
171,2
174,6
175,27
176,28
177,21
178,13
179,20
180,39
181,31
182,49
183,25
184,6
185,20
186,2
187,21
188,20
189,19
190,11
191,1
201,2
204,1
206,1
207,1
209,1
213,13
214,10
215,35
216,27
217,4
220,9
222,4
223,12
230,5
231,3
232,3
239,6
240,6
241,4
242,6
243,6
244,6
245,6
246,6
247,6
248,6
249,8
251,23
252,11
253,10
254,2
255,10
256,4
257,13
258,7
259,17
260,10
262,6
263,6
264,6
265,6
268,2
270,2
271,2
272,6
275,12
276,3
279,2
284,1
285,2
286,2
287,3
288,11
293,6
295,6
296,3
301,3
302,2
303,7
304,4
305,6
306,22
307,4
308,4
309,2
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,2
318,4
321,2
323,6
324,8
325,6
327,3
328,1
329,1
330,1
331,1
332,1
333,1
335,2
336,4
337,2
338,1
339,5
340,1
341,1
342,4
344,1
346,4
347,7
348,5
349,1
353,6
354,2
356,1
357,31
358,6
360,8
361,3
363,2
366,3
374,9
376,4
377,1
378,2
379,5
380,1
382,4
384,1
385,4
389,7
390,1
393,2
394,1
395,2
396,2
397,2
398,2
399,2
401,2
402,3
403,2
404,2
405,2
406,1
407,2
408,2
412,3
415,1
416,7
418,1
419,2
420,14
421,4
422,2
423,4
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
435,5
436,2
437,2
440,2
441,1
447,2
461,1
472,4
473,9
474,10
475,2
476,13
477,1
478,3
480,2
481,3
482,3
488,1
490,9
493,5
494,2
495,2
496,2
497,5
498,1
499,1
501,1
503,8
504,2
505,6
507,2
510,1
511,1
513,1
514,12
515,1
516,2
520,1
521,1
525,1
526,3
529,1
533,1
544,2
548,3
551,1
552,1
555,5
560,3
564,1
565,2
567,10
573,3
574,4
575,4
576,5
577,2
581,2
583,1
585,3
587,1
588,2
589,1
591,3
592,2
593,2
594,4
595,2
596,4
597,4
600,2
601,3
603,2
604,4
605,1
607,1
609,2
613,1
620,1
